date,amount,price,sid,symbol,value
2015-04-20 00:00:00+00:00,542,18.263886265647,0,,-9899.026355980674
2015-05-18 00:00:00+00:00,-542,20.366594662541022,0,,11038.694307097234
2015-05-22 00:00:00+00:00,476,23.107564677813,0,,-10999.200786638987
2015-05-29 00:00:00+00:00,-476,22.3735550643,0,,10649.8122106068
2015-06-01 00:00:00+00:00,434,24.465678722066997,0,,-10618.104565377076
2015-06-04 00:00:00+00:00,-434,22.850144531730656,0,,9916.962726771104
2015-06-25 00:00:00+00:00,415,23.884751327415,0,,-9912.171800877224
2015-06-29 00:00:00+00:00,-415,23.178218009594996,0,,9618.960473981924
2015-07-01 00:00:00+00:00,381,25.180062410085,0,,-9593.603778242385
2015-07-03 00:00:00+00:00,-381,20.93522124518,0,,7976.31929441358
2015-11-27 00:00:00+00:00,504,15.80485082146,0,,-7965.64481401584
2015-11-30 00:00:00+00:00,-504,15.357633690695584,0,,7740.247380110574
2015-12-02 00:00:00+00:00,489,15.796576030453998,0,,-7724.525678892005
2016-01-04 00:00:00+00:00,-489,18.0955601186563,0,,8848.728898022931
2016-09-09 00:00:00+00:00,438,20.113541968518,0,,-8809.731382210884
2016-10-13 00:00:00+00:00,-438,19.951987414554,0,,8738.970487574652
2016-10-24 00:00:00+00:00,433,20.176368739504,0,,-8736.367664205232
2016-11-17 00:00:00+00:00,-433,19.7455565956,0,,8549.8260058948
2016-11-18 00:00:00+00:00,418,20.373824305459998,0,,-8516.25855968228
2016-12-12 00:00:00+00:00,-418,22.880839123068476,0,,9564.190753442623
2017-01-18 00:00:00+00:00,431,22.114014484060803,0,,-9531.140242630207
2017-02-07 00:00:00+00:00,-431,22.491984012988,0,,9694.045109597828
2017-02-10 00:00:00+00:00,419,23.06640020486,0,,-9664.82168583634
2017-04-11 00:00:00+00:00,-419,27.36433021478111,0,,11465.654359993285
2017-04-18 00:00:00+00:00,401,28.541304533639998,0,,-11445.063117989639
2017-05-08 00:00:00+00:00,-401,29.04182975800678,0,,11645.773732960719
2017-05-12 00:00:00+00:00,392,29.591409134405996,0,,-11599.83238068715
2017-05-19 00:00:00+00:00,-392,29.376003062453997,0,,11515.393200481967
2017-05-22 00:00:00+00:00,386,29.75296368837,0,,-11484.64398371082
2017-06-05 00:00:00+00:00,-386,29.86205235671915,0,,11526.752209693592
2017-06-07 00:00:00+00:00,373,30.82999404813,0,,-11499.58777995249
2017-07-26 00:00:00+00:00,-373,37.36445366419491,0,,13936.941216744703
2017-08-24 00:00:00+00:00,377,36.855889795482,0,,-13894.670452896715
2017-09-01 00:00:00+00:00,-377,36.348310594014,0,,13703.31309394328
2017-10-20 00:00:00+00:00,355,38.463223933464,0,,-13654.44449637972
2017-11-24 00:00:00+00:00,-355,41.91728273001886,0,,14880.635369156696
2017-12-21 00:00:00+00:00,351,42.307666403842,0,,-14849.99090774854
2017-12-28 00:00:00+00:00,-351,40.74733034007,0,,14302.31294936457
2018-01-02 00:00:00+00:00,343,41.546297601640006,0,,-14250.380077362523
2018-02-05 00:00:00+00:00,-343,50.216742681487304,0,,17224.342739750144
2018-02-14 00:00:00+00:00,348,49.359920588323455,0,,-17177.252364736563
2018-02-28 00:00:00+00:00,-348,48.022632227778004,0,,16711.876015266746
2018-03-13 00:00:00+00:00,332,50.212742485964,0,,-16670.630505340047
2018-03-22 00:00:00+00:00,-332,48.59600873314,0,,16133.87489940248
2018-11-07 00:00:00+00:00,433,37.222474774320006,0,,-16117.331577280562
2018-11-09 00:00:00+00:00,-433,36.48054455025043,0,,15796.075790258436
2019-01-25 00:00:00+00:00,423,37.18487631495201,0,,-15729.202681224699
2019-03-25 00:00:00+00:00,-423,43.318137715494,0,,18323.57225365396
2019-04-09 00:00:00+00:00,369,49.472418991986,0,,-18255.322608042832
2019-04-29 00:00:00+00:00,-369,52.72905136277794,0,,19457.01995286506
2019-06-12 00:00:00+00:00,379,51.272974969164004,0,,-19432.45751331316
2019-06-14 00:00:00+00:00,-379,48.853180163856,0,,18515.355282101424
2019-06-21 00:00:00+00:00,356,51.777892782870005,0,,-18432.929830701723
2019-07-15 00:00:00+00:00,-356,52.98993469846967,0,,18864.4167526552
2019-08-14 00:00:00+00:00,363,51.949374304506,0,,-18857.622872535678
2019-09-23 00:00:00+00:00,-363,56.24813249902999,0,,20418.072097147888
2019-10-09 00:00:00+00:00,358,56.8651557136,0,,-20357.725745468797
2019-10-10 00:00:00+00:00,-358,55.8847219944,0,,20006.7304739952
2019-10-14 00:00:00+00:00,344,58.04167617664,0,,-19966.33660476416
2019-10-18 00:00:00+00:00,-344,57.3553725732,0,,19730.2481651808
2019-10-23 00:00:00+00:00,340,57.757350398072,0,,-19637.49913534448
2019-10-25 00:00:00+00:00,-340,56.99809378676851,0,,19379.351887501292
2019-10-30 00:00:00+00:00,331,58.541697373432,0,,-19377.301830605993
2019-11-11 00:00:00+00:00,-331,59.54152532316776,0,,19708.24488196853
2019-12-10 00:00:00+00:00,321,61.218281426847994,0,,-19651.068338018205
2020-01-21 00:00:00+00:00,-321,65.81741721631636,0,,21127.39092643755
2020-05-27 00:00:00+00:00,378,55.68863525056,0,,-21050.304124711678
2020-05-28 00:00:00+00:00,-378,55.188614053768,0,,20861.296112324304
2020-06-01 00:00:00+00:00,369,56.384743191192,0,,-20805.97023754985
2020-06-12 00:00:00+00:00,-369,57.55,0,,21235.95
2020-06-22 00:00:00+00:00,366,57.828103738422676,0,,-21165.085968262698
2020-06-23 00:00:00+00:00,-366,57.0,0,,20862.0
