date,amount,price,sid,symbol,value
2015-04-20 00:00:00+00:00,645,15.32660272319,0,,-9885.65875645755
2015-06-19 00:00:00+00:00,-645,14.793360685433198,0,,9541.717642104413
2015-07-20 00:00:00+00:00,611,15.603636572446357,0,,-9533.821945764725
2015-08-13 00:00:00+00:00,-611,15.430147280955,0,,9427.819988663505
2016-01-20 00:00:00+00:00,713,13.228269514692,0,,-9431.756163975397
2016-09-14 00:00:00+00:00,-713,15.685375348869002,0,,11183.672623743598
2017-05-16 00:00:00+00:00,613,18.17876075184,0,,-11143.58034087792
2017-06-15 00:00:00+00:00,-613,19.305375434021645,0,,11834.195141055268
2017-09-06 00:00:00+00:00,471,24.953243700704,0,,-11752.977783031583
2017-09-28 00:00:00+00:00,-471,23.139870285336016,0,,10898.878904393263
2017-10-13 00:00:00+00:00,451,24.130006188583998,0,,-10882.632791051383
2018-02-07 00:00:00+00:00,-451,30.170743407084966,0,,13607.00527659532
2019-01-03 00:00:00+00:00,577,23.0466733126,0,,-13297.9305013702
2019-03-08 00:00:00+00:00,-577,29.03503023071,0,,16753.212443119668
2019-06-12 00:00:00+00:00,507,33.427121661185,0,,-16947.550682220794
2019-07-15 00:00:00+00:00,-507,33.957331496478,0,,17216.367068714346
2019-07-16 00:00:00+00:00,500,34.306507141686,0,,-17153.253570843
2019-08-06 00:00:00+00:00,-500,33.462665999100004,0,,16731.332999550003
2020-02-11 00:00:00+00:00,484,34.23861187734,0,,-16571.488148632558
2020-07-24 00:00:00+00:00,-484,34.672365260775,0,,16781.424786215102
2020-08-13 00:00:00+00:00,446,37.85,0,,-16881.100000000002
