date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2012-06-29,600519,002304,600011,600050,000858,601318,000568,601888,600547,600027,601628,601601,000629,600332,000651,600489,601088,600085,600583,002241
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2012-07-31,600519,002304,600011,000858,601318,600547,600050,601628,000651,600027,000568,000895,601888,000538,601601,002241,000963,600690,600535,601088
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2012-08-31,600519,002304,600011,000858,600547,600050,601628,601318,000651,000538,000568,002241,601888,000895,600027,000963,601601,600690,601088,600535
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2012-09-28,600519,002304,600011,000858,600547,601318,601628,600050,000651,000895,000538,000568,002241,601888,600027,601088,000963,600535,600690,601601
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2012-10-31,000895,600519,002304,600011,000858,600547,000568,000651,600050,601318,000538,600027,600535,601628,002241,600809,601888,600690,601088,000661
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2012-11-30,000895,600519,600011,002304,000651,000858,600547,000568,000538,601318,600027,601628,600050,600690,601888,601088,002241,601601,600085,600809
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2012-12-31,000895,600519,600011,002304,000651,600547,000858,600050,601628,000538,000568,601318,600027,601601,601888,600690,600887,601088,002241,600535
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2013-01-31,000895,600519,600050,601628,002304,002081,601318,000651,000538,600547,600011,601601,000858,002236,600535,000661,600362,600809,002241,600690
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2013-02-28,000895,600519,002304,601628,000651,002081,600050,000538,002236,600011,600547,601318,600535,601888,000858,601601,000661,600027,002241,601088
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2013-03-29,000895,600519,600050,601628,002236,600011,000651,000538,601318,600547,002241,601888,600535,601601,002081,002304,600309,000963,600027,000661
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2013-04-26,601628,601601,000895,000625,600050,600535,002241,600332,600519,601318,600011,600309,600085,601888,600887,600027,000651,000538,600837,600688
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2013-05-31,601628,601601,000625,600332,600050,600519,600085,601318,600887,600011,000538,000895,002241,601888,600309,600837,000725,601788,600027,000651
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2013-06-28,601601,601628,000625,600887,600332,600519,600050,601318,000538,600085,600011,002241,601888,600309,000651,000895,600837,000725,600027,600535
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2013-07-31,600887,601628,601601,600332,000538,000651,600050,000625,000895,600011,601318,600583,600309,000963,000661,600519,601888,002241,600085,600837
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2013-08-30,600887,601628,601601,000625,000651,000538,600332,601888,601318,600011,600050,600309,000895,600837,000963,600583,000661,601808,002241,600519
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2013-09-30,600887,601628,601601,000538,000651,600332,000625,601888,600011,601318,000895,600309,000963,600050,600583,000661,002241,601808,600837,600085
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2013-10-31,600887,601628,601601,000538,000651,000625,601318,601888,600050,600011,000895,600583,600690,600332,601808,000100,600309,600637,000725,600111
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2013-11-29,600887,601628,601601,601318,000651,000625,000538,601888,600050,600011,000895,600690,600583,601808,600332,600309,600519,000725,300017,600585
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2013-12-31,601628,600887,601601,000651,601318,000538,601888,600050,600690,600011,000895,601808,600583,600276,300017,600332,600309,600438,600519,600637
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2014-01-30,600887,000895,601628,601318,601601,000063,000651,300017,600690,000538,600332,600050,002241,600585,600519,600011,601600,601808,000963,002236
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2014-02-28,600887,000895,601628,601318,601601,000063,000651,600050,600690,300017,600688,600519,000538,600332,002241,002230,601888,601600,601808,600535
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2014-03-31,600887,000895,601628,601601,601318,000651,600050,000063,600332,600688,601600,601808,600585,600690,300017,002241,600276,600519,600011,000538
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2014-04-30,601601,000538,601318,000895,000651,002252,002241,600050,000625,600109,600030,600887,300017,600535,000709,000063,601628,600276,600585,600332
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2014-05-30,601318,601601,600050,000895,000651,000538,002241,600109,600030,600535,000625,000709,600690,601628,600887,600585,000063,600276,002311,600011
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2014-06-30,601601,601318,000651,000895,600050,002241,600109,000625,600535,600030,600887,600276,000538,000709,600585,002311,600011,601628,000063,600018
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2014-07-31,601601,000625,000651,000895,000063,601318,601628,600535,600585,600050,000963,002241,600893,000709,600332,600276,601808,600887,002311,600690
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2014-08-29,601601,000895,000063,000625,000651,601318,601628,000963,600893,600535,600050,002241,600585,600332,600276,601808,000709,600887,600690,002311
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2014-09-30,601601,000895,000063,000625,601628,000963,600050,600893,600535,000709,000651,601318,601808,600332,600276,600585,600886,002241,002252,002311
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2014-10-31,601318,000625,000063,601601,600050,601919,601628,000651,600030,600886,600332,000709,600535,600999,601788,600276,000895,000963,600893,600585
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2014-11-28,601318,601628,601788,600999,601601,601919,600030,600886,000625,000651,600050,000709,000063,600535,000728,600893,000963,600585,600276,600887
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2014-12-31,600030,601318,601628,600999,600886,601788,601919,601601,000625,600369,600837,000709,000728,000651,600050,000063,600276,000338,600887,600188
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2015-01-30,601628,600030,601601,600999,601318,601766,000783,000728,002024,601919,000651,600276,600109,000963,600837,600887,002252,000063,600188,601618
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2015-02-27,601628,600030,600999,601601,601788,000728,601318,601766,000783,002024,600109,600050,601919,000651,600887,600837,000963,002252,000625,000063
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2015-03-31,601628,600030,600999,601788,601601,000783,601318,601919,600109,002024,600050,000963,000651,600837,601618,600887,300033,002252,600276,600369
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2015-04-30,601919,601766,600029,600030,601111,600010,600276,601318,601628,600109,601601,600115,002024,601788,600519,600061,600887,601618,601390,000651
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2015-05-29,002024,601919,600115,600030,600029,601318,600010,601111,601601,600276,601628,600061,000651,600519,600109,000725,002252,601788,600050,600369
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
