===============================================================================
Id,2006-day-001,len,datetime,open,high,low,close,volume,openinterest,LongShortStrategy,len,datetime,CrossOver,len,crossover,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
15,2006-day-001,15,2006-01-20 23:59:59.999989,3593.16,3612.37,3550.8,3550.8,0.0,0.0,LongShortStrategy,15,732331.9999999999,CrossOver,15,,Broker,15,100000.0,100000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,
16,2006-day-001,16,2006-01-23 23:59:59.999989,3550.24,3550.24,3515.07,3544.31,0.0,0.0,LongShortStrategy,16,732334.9999999999,CrossOver,16,0.0,Broker,16,100000.0,100000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,
17,2006-day-001,17,2006-01-24 23:59:59.999989,3544.78,3553.16,3526.37,3532.68,0.0,0.0,LongShortStrategy,17,732335.9999999999,CrossOver,17,0.0,Broker,17,100000.0,100000.0,BuySell,17,,,Trades - Net Profit/Loss,17,,
18,2006-day-001,18,2006-01-25 23:59:59.999989,3532.72,3578.0,3532.72,3578.0,0.0,0.0,LongShortStrategy,18,732336.9999999999,CrossOver,18,0.0,Broker,18,100000.0,100000.0,BuySell,18,,,Trades - Net Profit/Loss,18,,
19,2006-day-001,19,2006-01-26 23:59:59.999989,3578.92,3641.42,3577.98,3641.42,0.0,0.0,LongShortStrategy,19,732337.9999999999,CrossOver,19,1.0,Broker,19,100000.0,100000.0,BuySell,19,,,Trades - Net Profit/Loss,19,,
20,2006-day-001,20,2006-01-27 23:59:59.999989,3643.35,3685.48,3643.35,3685.48,0.0,0.0,LongShortStrategy,20,732338.9999999999,CrossOver,20,0.0,Broker,20,98419.3,100419.3,BuySell,20,3588.6997499999998,,Trades - Net Profit/Loss,20,,
21,2006-day-001,21,2006-01-30 23:59:59.999989,3684.38,3685.65,3664.45,3677.52,0.0,0.0,LongShortStrategy,21,732341.9999999999,CrossOver,21,0.0,Broker,21,98339.7,100339.7,BuySell,21,,,Trades - Net Profit/Loss,21,,
22,2006-day-001,22,2006-01-31 23:59:59.999989,3676.71,3707.63,3671.67,3691.41,0.0,0.0,LongShortStrategy,22,732342.9999999999,CrossOver,22,0.0,Broker,22,98478.59999999999,100478.59999999999,BuySell,22,,,Trades - Net Profit/Loss,22,,
23,2006-day-001,23,2006-02-01 23:59:59.999989,3686.16,3728.8,3674.89,3728.25,0.0,0.0,LongShortStrategy,23,732343.9999999999,CrossOver,23,0.0,Broker,23,98847.0,100847.0,BuySell,23,,,Trades - Net Profit/Loss,23,,
24,2006-day-001,24,2006-02-02 23:59:59.999989,3728.92,3745.14,3677.05,3677.05,0.0,0.0,LongShortStrategy,24,732344.9999999999,CrossOver,24,0.0,Broker,24,98335.0,100335.0,BuySell,24,,,Trades - Net Profit/Loss,24,,
25,2006-day-001,25,2006-02-03 23:59:59.999989,3677.05,3696.0,3652.76,3678.48,0.0,0.0,LongShortStrategy,25,732345.9999999999,CrossOver,25,0.0,Broker,25,98349.3,100349.3,BuySell,25,,,Trades - Net Profit/Loss,25,,
